FIPS_Code,County,State,Total,Male,Female,Under18,a18to64,over65,oneRace,White,AfricanAmerican,Native,Asian,Hawaiian,otherRace,Multiracial,FamilyHousehold,OtherLivingArrangements,totPoverty25,NoHS,HighSchool,SomeCollege,Bachelors,AmericanBorn,ForeignBorn,NaturalizedCitizen,Disability,NoDisability,totPoverty16to64,FullTime,PartTime,NoWork,Year
1073,Jefferson County, Alabama,645466,303504,341962,152206,409543,83717,640703,345486,273684,1337,9210,0,10986,4763,531414,114052,433397,57382,119244,130996,125775,617471,27995,8242,96449,548185,427877,199579,111711,116587,2010
4013,Maricopa County, Arizona,3778090,1866272,1911818,994991,2325410,457689,3678160,3064177,192854,66300,128263,7466,219100,99930,3153314,624776,2416172,329078,584404,814490,688200,3213803,564287,192942,362868,3410305,2434102,1156912,635787,641403,2010
4019,Pima County, Arizona,956111,469386,486725,220278,584879,150954,930675,772745,32087,31039,25158,1047,68599,25436,768384,187727,641539,82006,145700,219891,193942,833353,122758,53172,120151,832004,612018,263430,179633,168955,2010
6001,Alameda County, California,1488413,728682,759731,336700,986078,165635,1406431,682129,181089,7669,394746,12006,128792,81982,1224529,263884,1011634,142360,200001,258667,410606,1028421,459992,235212,130289,1357047,1023365,464125,286245,272995,2010
6013,Contra Costa County, California,1041847,507068,534779,259678,653589,128580,991150,668945,95215,3947,153814,4913,64316,50697,907304,134543,698088,77763,134515,214464,271346,794840,247007,125766,97631,943676,685215,303746,210748,170721,2010
6019,Fresno County, California,917306,454619,462687,274931,551278,91097,878243,544217,44933,8341,87736,1121,191895,39063,813803,103503,537326,138663,120666,169004,108993,714598,202708,67610,99240,817757,584773,220631,178463,185679,2010
6029,Kern County, California,809688,406758,402930,251900,483845,73943,777201,582354,40837,9876,31916,525,111693,32487,724637,85051,469652,130159,119760,146024,73709,641171,168517,50570,98621,709858,514458,195229,152074,167155,2010
6037,Los Angeles County, California,9678817,4764325,4914492,2367269,6270393,1041155,9319465,5105623,809080,40644,1340907,23215,1999996,359352,8220264,1458553,6300888,1519969,1280803,1649518,1850598,6210890,3467927,1588054,901935,8772382,6567327,2886118,1784602,1896607,2010
6059,Orange County, California,2979771,1470125,1509646,721707,1911186,346878,2889074,1824356,48005,11370,540050,10398,454895,90697,2587381,392390,1962998,328378,348855,566324,719441,2067515,912256,456859,219092,2758718,2001482,931974,548609,520899,2010
6065,Riverside County, California,2171404,1074222,1097182,614305,1299395,257704,2079568,1467383,130433,20353,130978,7900,322521,91836,1928767,242637,1332557,279726,334062,446133,272636,1682558,488846,205885,219515,1948246,1375547,543898,398751,432898,2010
