FIPS_Code,County,State,Year,variable,value
1073,Jefferson County, Alabama,2010,Total,645466
4013,Maricopa County, Arizona,2010,Total,3778090
4019,Pima County, Arizona,2010,Total,956111
6001,Alameda County, California,2010,Total,1488413
6013,Contra Costa County, California,2010,Total,1041847
6019,Fresno County, California,2010,Total,917306
6029,Kern County, California,2010,Total,809688
6037,Los Angeles County, California,2010,Total,9678817
6059,Orange County, California,2010,Total,2979771
6065,Riverside County, California,2010,Total,2171404
6067,Sacramento County, California,2010,Total,1391431
6071,San Bernardino County, California,2010,Total,1998123
6073,San Diego County, California,2010,Total,3011428
6075,San Francisco County, California,2010,Total,798847
6077,San Joaquin County, California,2010,Total,669544
6081,San Mateo County, California,2010,Total,713491
6085,Santa Clara County, California,2010,Total,1766692
6099,Stanislaus County, California,2010,Total,509261
6111,Ventura County, California,2010,Total,813891
8005,Arapahoe County, Colorado,2010,Total,569816
8031,Denver County, Colorado,2010,Total,592734
8041,El Paso County, Colorado,2010,Total,609625
9001,Fairfield County, Connecticut,2010,Total,897928
9003,Hartford County, Connecticut,2010,Total,869216
9009,New Haven County, Connecticut,2010,Total,837756
10003,New Castle County, Delaware,2010,Total,523087
11001,District of Columbia, District of Columbia,2010,Total,570953
12009,Brevard County, Florida,2010,Total,534329
12011,Broward County, Florida,2010,Total,1739280
12031,Duval County, Florida,2010,Total,843733
12057,Hillsborough County, Florida,2010,Total,1216607
12071,Lee County, Florida,2010,Total,613103
12086,Miami-Dade County, Florida,2010,Total,2447254
12095,Orange County, Florida,2010,Total,1126295
12099,Palm Beach County, Florida,2010,Total,1308349
12103,Pinellas County, Florida,2010,Total,901959
12105,Polk County, Florida,2010,Total,588527
12127,Volusia County, Florida,2010,Total,479516
13067,Cobb County, Georgia,2010,Total,684334
13089,DeKalb County, Georgia,2010,Total,680289
13121,Fulton County, Georgia,2010,Total,894461
13135,Gwinnett County, Georgia,2010,Total,802317
15003,Honolulu County, Hawaii,2010,Total,926014
17031,Cook County, Illinois,2010,Total,5128124
17043,DuPage County, Illinois,2010,Total,904659
17089,Kane County, Illinois,2010,Total,510403
17097,Lake County, Illinois,2010,Total,693785
17197,Will County, Illinois,2010,Total,669930
18097,Marion County, Indiana,2010,Total,887242
21111,Jefferson County, Kentucky,2010,Total,731341
